stud_ID,exam_1,exam_2,exam_3,notes,letter_grade,noisy_letter_grade
c39ac7,86,80,66,,C,C
0a420f,59,70,86,,C,C
22daa1,93,75,91,,B,B
848c64,76,54,65,,D,D
85b1fe,72,78,69,missed homework frequently -10,D,D
8804a1,58,90,80,,C,C
405989,77,84,86,,B,D
aef92a,92,66,65,missed homework frequently -10,D,D
592043,88,83,86,great final presentation +10,A,F
d5deef,65,0,88,"cheated on exam, gets 0pts",F,F
1f2870,89,72,60,great final presentation +10,B,F
a80ea8,84,79,97,great final presentation +10,A,A
bfcb37,96,64,65,,C,C
4065e7,96,75,92,great final presentation +10,A,A
40e901,62,92,76,,C,C
3c4cbb,94,62,66,,C,C
a492e7,85,74,92,,B,B
c23a96,73,90,68,missed homework frequently -10,D,D
1d3d52,81,76,97,great participation +10,A,A
7844d1,96,87,80,missed class frequently -10,C,C
dda6c7,83,85,90,great participation +10,A,A
0c3423,85,100,79,missed class frequently -10,C,F
844a91,75,77,73,missed homework frequently -10,D,D
5a3ede,84,94,47,missed homework frequently -10,D,D
28e939,84,96,73,great participation +10,A,A
060618,65,85,50,,D,D
813385,90,54,80,,C,C
e9b754,68,99,99,great final presentation +10,A,A
f17261,95,88,69,,B,D
3ea346,0,97,85,"cheated on exam, gets 0pts",D,D
77bf3d,89,93,70,missed homework frequently -10,C,C
b3b4e4,68,83,76,,C,F
6520ae,79,81,89,great final presentation +10,A,A
80cf8a,73,95,93,,B,B
5e4339,87,93,91,great participation +10,A,A
8c385b,86,71,68,,C,C
a38243,95,96,64,,B,D
95c45e,99,95,67,,B,B
be9274,75,78,97,,B,B
60f3b4,85,72,70,,C,C
213b34,89,74,85,missed class frequently -10,C,C
f2144b,74,94,84,great participation +10,A,A
c97ec4,95,75,97,great final presentation +10,A,A
9486df,83,93,77,,B,B
36284d,78,58,86,great final presentation +10,B,B
41d2ec,88,56,80,,C,C
84aabd,94,94,72,great participation +10,A,A
57a7d7,84,87,96,great final presentation +10,A,A
8b81cc,99,76,95,great participation +10,A,A
aab213,96,94,89,,A,A
655f56,67,80,51,,D,D
76c083,91,92,74,,B,B
fdcc94,77,96,78,,B,B
5b2f76,99,86,95,missed class frequently -10,B,B
bacc99,72,82,100,great participation +10,A,A
6d25c7,89,99,73,great final presentation +10,A,A
c4e180,67,76,33,,F,F
1c6561,46,70,77,,D,D
b2b1d4,46,92,66,,D,D
919291,87,78,82,missed homework frequently -10,C,C
9d3aa8,80,98,84,great participation +10,A,A
e86e4c,91,92,95,missed homework frequently -10,B,B
dacfb9,80,60,80,,C,F
56cc4f,88,75,59,missed class frequently -10,D,D
25d4ad,93,73,97,great final presentation +10,A,A
193408,86,67,76,missed homework frequently -10,D,D
b2a3ca,59,94,80,missed homework frequently -10,D,B
363a3f,61,77,88,,C,C
31d114,88,56,82,great participation +10,B,B
c80059,86,89,85,great final presentation +10,A,F
4ec774,72,90,98,,B,F
cd52b5,68,93,73,,C,C
79d007,94,93,91,missed homework frequently -10,B,B
25ca30,91,98,97,great participation +10,A,A
bc18ee,91,0,89,"cheated on exam, gets 0pts",D,D
7af92f,58,54,37,,F,F
d6db38,93,88,79,missed homework frequently -10,C,C
514b4e,0,72,88,"cheated on exam, gets 0pts",F,F
c33c21,61,76,87,,C,C
f0caf4,84,97,99,,A,A
4faf00,86,98,95,,A,A
df0368,80,76,66,,C,C
c8ef2c,0,50,85,"cheated on exam, gets 0pts",F,A
a3b392,73,64,87,missed homework frequently -10,D,B
ff5692,0,69,90,"cheated on exam, gets 0pts",F,F
e79b6e,86,45,86,great final presentation +10,B,B
a0da76,64,93,70,,C,C
461371,87,57,76,,C,C
9f7f44,61,65,100,missed homework frequently -10,D,D
24cfc2,87,56,85,,C,A
2383a2,83,77,72,missed homework frequently -10,D,D
a5a46a,78,89,81,,B,B
7e73d6,95,94,89,,A,A
cb9258,84,96,91,great final presentation +10,A,A
b54c36,67,93,93,,B,B
f60864,77,79,94,,B,B
f25629,86,74,61,,C,C
b34a12,0,71,80,"cheated on exam, gets 0pts",F,F
61e807,79,62,82,,C,C
4591b4,66,72,83,missed homework frequently -10,D,B
fe27ba,79,89,86,great final presentation +10,A,A
0909cb,73,82,69,missed class frequently -10,D,B
cba083,76,84,67,,C,C
eae349,0,84,72,"cheated on exam, gets 0pts",F,F
b477ac,0,92,56,"cheated on exam, gets 0pts",F,F
f71050,99,83,88,great participation +10,A,A
7dc5af,91,61,100,,B,B
9b3382,83,52,88,missed homework frequently -10,D,D
45234d,83,93,54,,C,C
cceb42,0,93,88,"cheated on exam, gets 0pts",D,D
a40e3e,95,82,54,,C,C
6b74a4,86,67,98,,B,B
6d97c0,91,89,83,missed class frequently -10,C,C
71a93a,100,73,84,missed homework frequently -10,C,C
b4a1fe,52,95,72,great participation +10,B,B
6b6ec4,64,73,79,great final presentation +10,B,B
347d55,98,51,74,,C,F
80b500,86,91,86,missed class frequently -10,C,C
d6d208,97,97,92,missed homework frequently -10,B,B
9c1e86,88,89,80,missed class frequently -10,C,C
50bebd,54,80,81,,C,A
b4d929,90,70,68,,C,C
6b1427,78,63,75,great final presentation +10,B,F
0c44f9,93,90,82,,B,D
c3875c,66,73,89,,C,C
4a3475,82,88,78,great final presentation +10,A,A
fe8fea,83,87,88,missed homework frequently -10,C,C
71fc7a,53,100,78,great final presentation +10,B,B
dc4e28,93,70,97,,B,B
ddd0ba,93,73,82,,B,B
2bd759,93,79,97,great participation +10,A,F
94e777,99,86,54,,C,C
17b236,85,80,60,,C,C
c787f8,64,86,78,,C,C
1fa9cb,95,88,77,,B,B
cbd44f,96,62,92,great participation +10,A,A
acd7e9,84,0,80,"cheated on exam, gets 0pts",F,F
dcf360,88,71,94,great participation +10,A,A
088de7,92,93,81,,B,B
6c4ef2,93,94,94,,A,A
2ac30c,86,87,86,missed class frequently -10,C,C
7554ac,80,85,84,missed homework frequently -10,C,C
9d6277,0,73,89,"cheated on exam, gets 0pts",F,F
1d4586,89,78,88,great participation +10,A,A
177a10,66,90,50,,D,B
63e008,81,0,75,"cheated on exam, gets 0pts",F,F
b2cf57,87,93,76,missed class frequently -10,C,C
8fc6a3,71,76,56,,D,D
5b2c55,94,70,85,great participation +10,A,A
9ae20c,90,60,78,,C,C
014d82,73,96,92,,B,B
a7a562,0,49,93,"cheated on exam, gets 0pts",F,F
714b09,97,81,100,great participation +10,A,F
b81c7f,0,54,74,"cheated on exam, gets 0pts",F,F
dbbcb7,86,75,62,,C,C
5458de,89,90,93,great final presentation +10,A,A
bf5e17,65,94,94,,B,B
e60eb1,91,99,79,great participation +10,A,A
299f65,69,55,95,,C,C
fc6b2d,77,71,78,,C,C
37fd76,99,59,70,missed class frequently -10,D,D
4b1dcc,88,93,92,great final presentation +10,A,A
b20f6d,81,92,77,,B,B
0a2b7a,84,74,91,great participation +10,A,A
e01ea5,85,81,87,,B,B
af3867,88,67,92,,B,D
ba0f30,97,0,94,"cheated on exam, gets 0pts",D,B
ab8a1c,99,67,89,great final presentation +10,A,A
c8cb74,95,77,87,,B,B
7b905c,81,95,77,,B,B
7e47d0,72,80,69,,C,C
198918,95,59,90,great participation +10,A,A
018915,89,95,87,great participation +10,A,A
e4742f,81,56,90,great final presentation +10,B,B
d6cb52,87,0,91,"cheated on exam, gets 0pts",D,D
bcbe7b,79,0,59,"cheated on exam, gets 0pts",F,F
e2614a,85,62,75,,C,F
fa2fd9,64,75,90,,C,C
a3d6f5,69,87,94,great participation +10,A,A
cbaab2,87,77,96,,B,B
567b3d,80,92,84,,B,D
939231,52,80,50,missed class frequently -10,F,A
6ec3d7,83,70,71,,C,C
614fd6,77,95,85,,B,B
7d8853,72,80,93,,B,B
0d0ab1,89,67,95,great final presentation +10,A,A
6b356b,90,87,99,,A,A
fc3a83,85,79,87,,B,B
bf4deb,69,95,62,great participation +10,B,B
cbcebf,69,92,99,missed homework frequently -10,C,F
af76a4,97,61,76,missed homework frequently -10,D,D
f2be6b,0,76,75,"cheated on exam, gets 0pts",F,F
913048,91,74,88,great participation +10,A,A
4a3f75,83,92,80,missed class frequently -10,C,C
2254d6,82,0,58,"cheated on exam, gets 0pts",F,F
be7541,92,96,90,,A,A
60561a,59,82,61,,D,D
1aad87,65,91,72,,C,C
612ebd,65,81,75,,C,C
196f78,97,0,92,"cheated on exam, gets 0pts",D,B
fcdf1a,71,86,89,missed class frequently -10,C,C
9c94ca,94,0,95,"cheated on exam, gets 0pts",D,D
bb13f4,65,95,68,,C,A
967af6,84,83,60,,C,C
343dd3,67,87,95,missed homework frequently -10,C,C
134233,88,69,100,,B,B
ddb65f,65,98,93,,B,B
7cb11e,78,57,85,,C,A
404534,92,97,44,,C,A
904506,83,88,88,,B,B
f4df5d,83,79,93,great participation +10,A,F
59bb90,96,91,90,great final presentation +10,A,A
9d5445,76,91,100,great participation +10,A,A
436bd4,85,92,84,missed homework frequently -10,C,C
6b1ead,92,90,77,great participation +10,A,A
087345,83,78,74,,C,C
6fd557,97,98,92,,A,A
cc4821,88,78,91,great final presentation +10,A,A
8576b8,95,41,56,,D,D
e08025,97,86,54,missed homework frequently -10,D,D
21baf3,68,73,81,missed class frequently -10,D,D
d4db34,94,92,75,great participation +10,A,A
cf31cf,96,84,74,,B,B
e4f0d5,86,85,89,missed homework frequently -10,C,C
a6e753,87,81,86,,B,B
ed82ec,77,0,87,"cheated on exam, gets 0pts",F,F
7a68f0,84,83,85,missed class frequently -10,C,C
0859ef,0,69,93,"cheated on exam, gets 0pts",F,F
5b2d9a,94,95,90,missed class frequently -10,B,B
97335b,57,78,83,,C,F
18669e,92,74,88,great final presentation +10,A,A
7c18ad,72,91,92,,B,F
77432b,0,77,81,"cheated on exam, gets 0pts",F,F
82c1fc,87,83,78,,B,B
a9729d,69,85,79,,C,C
558a4b,73,74,96,,B,F
22957d,51,65,97,,C,A
85a914,90,99,90,,A,A
5e2cb8,85,0,96,"cheated on exam, gets 0pts",D,B
ed1807,71,81,80,,C,C
a1b3da,88,80,91,missed class frequently -10,C,C
8dfc49,80,89,88,,B,B
f7a71f,74,86,93,great participation +10,A,A
1a77e5,0,72,67,"cheated on exam, gets 0pts",F,F
3a0e8a,89,98,80,great participation +10,A,A
eb6d03,92,92,76,,B,B
1f6c26,77,78,95,missed homework frequently -10,C,C
17e0c2,93,91,52,,C,C
070561,84,97,89,great participation +10,A,A
604e66,56,76,60,,D,D
7efafe,80,95,61,,C,C
8e6d24,90,95,75,great final presentation +10,A,A
805f44,91,92,96,missed class frequently -10,B,B
0fe053,66,91,70,missed class frequently -10,D,D
9d2936,58,92,93,,B,D
db4bcf,72,93,98,great participation +10,A,F
ee3387,80,96,83,missed homework frequently -10,C,C
f492d2,100,69,41,,D,D
080e8c,91,98,77,,B,B
0d8235,71,77,73,great final presentation +10,B,B
02c7df,90,73,91,,B,B
9f423d,66,95,86,,B,B
f478b4,67,88,89,,B,B
e38f8a,50,67,94,great final presentation +10,B,B
1196ee,84,99,71,,B,B
477ba7,80,65,55,,D,D
dbcef2,67,83,77,,C,A
4c682d,94,78,78,,B,B
efb3be,72,63,91,great final presentation +10,B,B
e1f71a,90,94,79,missed homework frequently -10,C,C
310dca,83,90,83,,B,B
85a963,74,79,92,missed homework frequently -10,C,C
337183,93,75,93,,B,B
8c4319,72,88,96,,B,B
34ccdd,90,100,89,great participation +10,A,F
437625,72,92,85,great participation +10,A,A
528e8f,60,92,55,,D,D
05a0bf,83,79,67,,C,C
92ebce,93,96,94,great final presentation +10,A,A
4f3bf8,63,68,84,,C,C
790ccb,77,88,82,missed homework frequently -10,C,C
a5992a,94,82,97,great final presentation +10,A,A
a74a35,69,86,97,missed homework frequently -10,C,C
794c31,90,77,99,great participation +10,A,A
c96390,0,99,92,"cheated on exam, gets 0pts",D,D
c84e0a,93,82,88,,B,D
f2616f,86,86,85,missed class frequently -10,C,C
15ec3d,76,92,64,great participation +10,B,B
5ba277,94,97,93,great participation +10,A,A
a4910b,89,71,94,,B,F
c32981,89,57,47,,D,D
695f96,96,69,92,,B,B
b3c9a0,91,74,88,,B,B
487e6d,85,100,78,,B,B
430247,85,0,59,"cheated on exam, gets 0pts",F,A
de5426,81,94,82,,B,B
5bf926,87,64,94,,B,D
523ede,68,56,98,great final presentation +10,B,B
be608c,56,79,85,,C,C
264458,88,83,83,,B,B
52d316,85,93,84,,B,D
5e9c99,87,79,82,great final presentation +10,A,A
f13fdf,92,87,60,great participation +10,B,B
e79f61,81,97,100,,A,A
df814d,78,85,84,,B,B
1fcea5,94,83,88,great final presentation +10,A,A
60ee3f,0,97,88,"cheated on exam, gets 0pts",D,D
c9f351,96,64,93,great final presentation +10,A,A
3d0344,69,87,51,,D,D
21499d,81,67,100,great participation +10,A,A
bcd50a,81,87,60,missed class frequently -10,D,D
308e1e,66,83,77,,C,F
b736fb,76,72,100,great final presentation +10,A,A
a4cca4,92,73,85,great final presentation +10,A,A
4d6494,80,85,93,great participation +10,A,A
882fb9,86,81,88,great final presentation +10,A,F
32e464,56,75,71,,D,D
449eb9,72,0,76,"cheated on exam, gets 0pts",F,F
66f462,62,64,63,,D,D
c02824,75,0,65,"cheated on exam, gets 0pts",F,F
6785fd,89,65,74,missed homework frequently -10,D,D
31c10d,91,0,68,"cheated on exam, gets 0pts",F,F
edd586,72,81,80,,C,C
bda572,73,96,100,great participation +10,A,A
d2b805,78,94,83,,B,D
63be9d,94,82,83,,B,B
d08463,95,83,100,,A,F
051ae6,76,83,86,,B,F
2ef072,93,56,74,,C,C
068e03,91,75,100,great participation +10,A,A
cbe2f7,82,94,85,,B,B
34a7d0,83,79,92,missed homework frequently -10,C,C
cbb6f5,92,44,66,,D,D
bcdf72,78,0,86,"cheated on exam, gets 0pts",F,F
ea43f9,80,96,80,,B,B
9d5c6f,87,48,91,,C,C
855d7e,78,89,68,,C,C
ee538b,100,100,99,,A,F
60786d,43,0,85,"cheated on exam, gets 0pts",F,F
338cae,0,89,90,"cheated on exam, gets 0pts",D,A
fbc055,88,74,96,great final presentation +10,A,A
912928,81,98,96,,A,A
454e51,84,92,86,,B,B
03b168,83,86,85,missed homework frequently -10,C,F
2076d3,67,98,65,missed homework frequently -10,D,D
84727d,0,95,94,"cheated on exam, gets 0pts",D,D
de292e,84,99,47,great final presentation +10,B,F
68827d,91,98,75,missed class frequently -10,C,C
0bbb87,85,91,83,great participation +10,A,F
39f6e5,92,50,87,,C,C
a0a66b,99,84,82,missed class frequently -10,C,F
0ce163,87,74,86,missed homework frequently -10,C,A
dfea38,90,96,71,missed class frequently -10,C,C
0f3439,61,54,100,,C,C
890038,74,48,74,,D,A
6235cb,98,68,58,,C,C
fb9f63,92,87,49,,C,C
cfba4c,70,75,99,,B,B
832336,80,0,99,"cheated on exam, gets 0pts",D,D
bf1b14,66,83,96,,B,D
433fb9,69,49,75,,D,D
d98b67,93,95,67,,B,B
6db401,87,85,77,,B,B
88d991,82,68,48,,D,D
faf401,75,90,93,,B,B
155b05,67,92,64,,C,F
5ba892,98,97,93,,A,A
bbcb14,73,93,86,,B,B
8c4f45,58,0,71,"cheated on exam, gets 0pts",F,F
c1226d,97,94,76,,B,B
01dd6e,92,99,87,missed homework frequently -10,B,B
e41b2c,73,87,92,,B,B
192ed3,79,60,84,,C,C
3b6bc7,62,54,71,,D,D
81e9ff,41,80,93,,C,C
6225b8,91,90,81,great participation +10,A,A
12a73f,96,83,73,great final presentation +10,A,A
c2f145,98,88,95,,A,F
9ea285,83,80,86,,B,B
938245,86,90,80,great final presentation +10,A,A
7f6511,90,67,77,missed class frequently -10,D,D
54a40e,59,68,65,,D,D
802d46,76,85,74,,C,A
7116b4,71,89,96,great final presentation +10,A,A
ecbe49,82,68,80,,C,C
c45d3d,57,74,86,,C,C
ba680b,91,97,96,,A,A
febb53,89,75,64,great final presentation +10,B,F
975b58,69,87,70,missed homework frequently -10,D,D
d50b9d,90,66,96,great final presentation +10,A,A
a8ccd4,92,0,71,"cheated on exam, gets 0pts",F,F
71a157,71,89,90,,B,B
ccd8c8,53,0,76,"cheated on exam, gets 0pts",F,F
1afe93,90,79,89,,B,D
87478a,92,95,92,,A,A
74676b,81,100,74,,B,F
46f477,92,71,93,great participation +10,A,A
79d45f,0,87,94,"cheated on exam, gets 0pts",D,D
2d09ef,54,76,96,,C,C
204fe8,86,67,80,,C,C
9665f9,94,79,58,great final presentation +10,B,B
523e05,57,89,55,,D,B
8686dd,81,81,91,,B,B
cfdfba,71,94,89,,B,B
8dabc9,95,83,83,,B,B
e91257,99,87,71,,B,B
3bcc91,81,86,95,great participation +10,A,A
9df82e,94,78,89,,B,B
9a1de5,99,73,84,missed homework frequently -10,C,C
bca07d,56,90,71,missed class frequently -10,D,D
86bd1a,79,83,92,,B,F
8c54c1,94,77,82,great participation +10,A,A
7da2b6,100,62,61,missed class frequently -10,D,D
1a7614,88,92,83,,B,B
7fdb63,89,86,90,great final presentation +10,A,A
0f7f19,93,53,77,,C,C
28a05f,92,0,61,"cheated on exam, gets 0pts",F,F
162d3c,89,77,68,,C,F
3dbb29,96,98,92,great final presentation +10,A,A
672ab5,79,98,84,,B,D
03d6b7,93,47,79,great participation +10,B,B
66c47a,92,93,73,missed homework frequently -10,C,C
ad9ffe,67,69,84,missed class frequently -10,D,D
6a11a5,94,79,79,great participation +10,A,A
bd023c,95,73,57,great final presentation +10,B,B
8639ff,91,91,78,great final presentation +10,A,A
985a12,81,69,95,,B,B
942d65,80,76,96,missed class frequently -10,C,A
4a6f46,76,82,91,great final presentation +10,A,A
de03e5,78,95,54,missed homework frequently -10,D,A
bb243d,86,96,100,,A,A
88e562,98,75,89,great final presentation +10,A,A
1dc157,79,73,72,,C,C
a9c51a,83,74,97,,B,B
fec764,78,95,87,,B,B
77c9c5,0,79,65,"cheated on exam, gets 0pts",F,A
735d5e,89,66,90,,B,B
3b57c6,81,96,96,great participation +10,A,A
431b5d,68,65,89,,C,A
ded944,86,85,89,,B,D
649fd5,99,99,87,,A,A
385b54,68,95,90,,B,B
44dd54,79,81,69,,C,C
d8dff2,95,69,83,missed homework frequently -10,C,C
e447ea,68,0,38,"cheated on exam, gets 0pts",F,F
a4b5a3,93,82,85,missed homework frequently -10,C,C
2b45d1,80,85,86,missed homework frequently -10,C,A
1a32f1,0,87,99,"cheated on exam, gets 0pts",D,D
19e8e6,96,79,92,great participation +10,A,F
0e0d2a,95,82,76,,B,D
a04379,89,81,64,missed class frequently -10,D,D
9f6d79,91,97,53,great participation +10,B,D
1f764f,65,94,92,,B,B
c304a8,64,91,97,,B,B
1f88cd,94,90,90,great participation +10,A,A
a6fbc9,85,82,55,great participation +10,B,B
44c1e5,88,91,80,,B,B
c6a20e,99,95,99,great participation +10,A,A
8a0a87,66,0,78,"cheated on exam, gets 0pts",F,A
04500c,49,77,89,great participation +10,B,B
f85354,88,69,89,,B,B
85c1f9,77,54,70,,D,D
46dc7c,74,80,90,,B,B
f680e8,86,97,95,,A,A
bb3bab,97,88,74,great participation +10,A,F
098658,0,96,87,"cheated on exam, gets 0pts",D,D
37ad23,89,74,85,,B,B
600f0b,55,71,98,missed homework frequently -10,D,A
7e6566,78,76,72,,C,C
26b585,99,77,81,great final presentation +10,A,A
fceb4e,78,63,88,,C,C
64c2db,96,76,85,,B,F
