name,description,category,type
Exterior1st_AsphShn, Exterior covering on house (Asphalt Shingles),general,boolean
Exterior1st_BrkComm, Exterior covering on house (Brick Common),general,boolean
Exterior1st_BrkFace, Exterior covering on house (Brick Face),general,boolean
Exterior1st_CBlock, Exterior covering on house (Cinder Block),general,boolean
Exterior1st_CemntBd, Exterior covering on house (Cement Board),general,boolean
Exterior1st_HdBoard, Exterior covering on house (Hard Board),general,boolean
Exterior1st_ImStucc, Exterior covering on house (Imitation Stucco),general,boolean
Exterior1st_MetalSd, Exterior covering on house (Metal Siding),general,boolean
Exterior1st_Plywood, Exterior covering on house (Plywood),general,boolean
Exterior1st_Stone, Exterior covering on house (Stone),general,boolean
Exterior1st_Stucco, Exterior covering on house (Stucco),general,boolean
Exterior1st_VinylSd, Exterior covering on house (Vinyl Siding),general,boolean
Exterior1st_Wd Sdng, Exterior covering on house (Wood Siding),general,boolean
Exterior1st_WdShing, Exterior covering on house (Wood Shingles),general,boolean
Exterior2nd_AsbShng, Exterior covering on house (if more than one material) (Asbestos Shingles),general,boolean
Exterior2nd_AsphShn, Exterior covering on house (if more than one material) (Asphalt Shingles),general,boolean
Exterior2nd_Brk Cmn, Exterior covering on house (if more than one material) (Brk Cmn),general,boolean
Exterior2nd_BrkFace, Exterior covering on house (if more than one material) (Brick Face),general,boolean
Exterior2nd_CBlock, Exterior covering on house (if more than one material) (Cinder Block),general,boolean
Exterior2nd_CmentBd, Exterior covering on house (if more than one material) (CmentBd),general,boolean
Exterior2nd_HdBoard, Exterior covering on house (if more than one material) (Hard Board),general,boolean
Exterior2nd_ImStucc, Exterior covering on house (if more than one material) (Imitation Stucco),general,boolean
Exterior2nd_MetalSd, Exterior covering on house (if more than one material) (Metal Siding),general,boolean
Exterior2nd_Other, Exterior covering on house (if more than one material) (Other),general,boolean
Exterior2nd_Plywood, Exterior covering on house (if more than one material) (Plywood),general,boolean
Exterior2nd_Stone, Exterior covering on house (if more than one material) (Stone),general,boolean
Exterior2nd_Stucco, Exterior covering on house (if more than one material) (Stucco),general,boolean
Exterior2nd_VinylSd, Exterior covering on house (if more than one material) (Vinyl Siding),general,boolean
Exterior2nd_Wd Sdng, Exterior covering on house (if more than one material) (Wood Siding),general,boolean
Exterior2nd_Wd Shng, Exterior covering on house (if more than one material) (Wd Shng),general,boolean
MasVnrType_BrkCmn, Masonry veneer type (Brick Common),general,boolean
MasVnrType_BrkFace, Masonry veneer type (Brick Face),general,boolean
MasVnrType_None, Masonry veneer type (None),general,boolean
MasVnrType_Stone, Masonry veneer type (Stone),general,boolean
Foundation_BrkTil, Type of foundation (Brick & Tile),general,boolean
Foundation_CBlock, Type of foundation (Cinder Block),general,boolean
Foundation_PConc, Type of foundation (Poured Contrete),general,boolean
Foundation_Slab, Type of foundation (Slab),general,boolean
Foundation_Stone, Type of foundation (Stone),general,boolean
Foundation_Wood, Type of foundation (Wood),general,boolean
BsmtCond_0, Evaluates the general condition of the basement (0),basement,boolean
BsmtCond_1, Evaluates the general condition of the basement (1),basement,boolean
BsmtCond_2, Evaluates the general condition of the basement (2),basement,boolean
BsmtCond_3, Evaluates the general condition of the basement (3),basement,boolean
BsmtCond_4, Evaluates the general condition of the basement (4),basement,boolean
Heating_Floor, Type of heating (Floor Furnace),utilites,boolean
Heating_GasA, Type of heating (Gas forced warm air furnace),utilites,boolean
Heating_GasW, Type of heating (Gas hot water or steam heat),utilites,boolean
Heating_Grav, Type of heating (Gravity furnace),utilites,boolean
Heating_OthW, Type of heating (Hot water or steam heat other than gas),utilites,boolean
Heating_Wall, Type of heating (Wall furnace),utilites,boolean
CentralAir_N, Central air conditioning (No),utilites,boolean
CentralAir_Y, Central air conditioning (Yes),utilites,boolean
Electrical_FuseA, Electrical system (Fuse Box over 60 AMP and all Romex wiring (Average)),utilites,boolean
Electrical_FuseF, Electrical system (60 AMP Fuse Box and mostly Romex wiring (Fair)),utilites,boolean
Electrical_FuseP, Electrical system (60 AMP Fuse Box and mostly knob & tube wiring (poor)),utilites,boolean
Electrical_Mix, Electrical system (Mixed),utilites,boolean
Electrical_SBrkr, Electrical system (Standard Circuit Breakers & Romex),utilites,boolean
GarageType_2Types, Garage location (More than one type of garage),garage,boolean
GarageType_Attchd, Garage location (Attached to home),garage,boolean
GarageType_Basment, Garage location (Basement Garage),garage,boolean
GarageType_BuiltIn, Garage location (Built-In (Garage part of house - typically has room above garage)),garage,boolean
GarageType_CarPort, Garage location (Car Port),garage,boolean
GarageType_Detchd, Garage location (Detached from home),garage,boolean
GarageType_No, Garage location (No),garage,boolean
GarageFinish_Fin, Interior finish of the garage (Finished),garage,boolean
GarageFinish_No, Interior finish of the garage (No),garage,boolean
GarageFinish_RFn, Interior finish of the garage (Rough Finished),garage,boolean
GarageFinish_Unf, Interior finish of the garage (Unfinished),garage,boolean
Fence_GdPrv, Fence quality (Good Privacy),outdoor,boolean
Fence_GdWo, Fence quality (Good Wood),outdoor,boolean
Fence_MnPrv, Fence quality (Minimum Privacy),outdoor,boolean
Fence_MnWw, Fence quality (Minimum Wood/Wire),outdoor,boolean
Fence_No, Fence quality (No),outdoor,boolean
MiscFeature_Gar2, Miscellaneous feature not covered in other categories (2nd Garage (if not described in garage section)),other,boolean
MiscFeature_No, Miscellaneous feature not covered in other categories (No),other,boolean
MiscFeature_Othr, Miscellaneous feature not covered in other categories (Other),other,boolean
MiscFeature_Shed, Miscellaneous feature not covered in other categories (Shed (over 100 SF)),other,boolean
MiscFeature_TenC, Miscellaneous feature not covered in other categories (Tennis Court),other,boolean
MoSold_Apr, Month Sold (MM) (April),dates,boolean
MoSold_Aug, Month Sold (MM) (August),dates,boolean
MoSold_Dec, Month Sold (MM) (December),dates,boolean
MoSold_Feb, Month Sold (MM) (February),dates,boolean
MoSold_Jan, Month Sold (MM) (January),dates,boolean
MoSold_Jul, Month Sold (MM) (July),dates,boolean
MoSold_Jun, Month Sold (MM) (June),dates,boolean
MoSold_Mar, Month Sold (MM) (March),dates,boolean
MoSold_May, Month Sold (MM) (May),dates,boolean
MoSold_Nov, Month Sold (MM) (November),dates,boolean
MoSold_Oct, Month Sold (MM) (October),dates,boolean
MoSold_Sep, Month Sold (MM) (September),dates,boolean
SaleType_COD, Type of sale (Court Officer Deed/Estate),other,boolean
SaleType_CWD, Type of sale (Warranty Deed - Cash),other,boolean
SaleType_Con, Type of sale (Contract 15% Down payment regular terms),other,boolean
SaleType_ConLD, Type of sale (Contract Low Down),other,boolean
SaleType_ConLI, Type of sale (Contract Low Interest),other,boolean
SaleType_ConLw, Type of sale (Contract Low Down payment and low interest),other,boolean
SaleType_New, Type of sale (Home just constructed and sold),other,boolean
SaleType_Oth, Type of sale (Other),other,boolean
SaleType_WD, Type of sale (Warranty Deed - Conventional),other,boolean
SaleCondition_Abnorml," Condition of sale (Abnormal Sale -  trade, foreclosure, short sale)",other,boolean
SaleCondition_AdjLand, Condition of sale (Adjoining Land Purchase),other,boolean
SaleCondition_Alloca," Condition of sale (Allocation - two linked properties with separate deeds, typically condo with a garage unit)",other,boolean
SaleCondition_Family, Condition of sale (Sale between family members),other,boolean
SaleCondition_Normal, Condition of sale (Normal Sale),other,boolean
SaleCondition_Partial, Condition of sale (Home was not completed when last assessed (associated with New Homes)),other,boolean
