LotFrontage,LotArea,Street,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,FinalBid,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,YrSold,MSSubClass,MSZoning,Alley,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,GarageFinish,Fence,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice
75.0,9986,2,4,4,3,3,5,2006,2007,428.0,4,3,5,157395.66944561238,3,2,1,0,1,0,1795,1795,5,1795,0,0,1795,0,0,2,0,2,1,4,7,8,1,4,2007.0,3,895,3,3,2,0,49,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Feb,New,Partial,147000
0.0,4435,2,4,4,3,5,5,2003,2004,170.0,4,3,4,141998.53002078173,3,2,6,685,1,0,163,848,5,848,0,0,848,1,0,1,0,1,1,4,4,8,0,0,2003.0,2,420,3,3,2,140,0,0,0,0,0,0,0,2009,SC120,RM,None,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Normal,144000
65.0,9018,2,3,4,3,4,5,2007,2007,0.0,4,3,4,184713.73004253942,3,2,1,0,1,0,728,728,5,728,728,0,1456,0,0,2,1,3,1,4,8,8,1,4,2007.0,2,400,3,3,2,100,24,0,0,0,0,0,0,2007,SC60,RL,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jul,New,Partial,179540
75.0,9375,2,4,4,3,3,5,2003,2004,768.0,4,3,5,195120.7912935656,3,0,1,0,1,0,1053,1053,5,1053,939,0,1992,0,0,2,1,3,1,4,9,8,1,4,2003.0,2,648,3,3,2,140,45,0,0,0,0,0,0,2008,SC60,FV,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Aug,WD,Normal,250000
0.0,8000,2,4,4,3,5,5,1995,1996,0.0,3,3,4,176427.04558584632,3,0,6,219,1,0,554,773,4,773,885,0,1658,1,0,2,1,3,1,3,8,8,1,3,1995.0,2,431,3,3,2,224,84,0,0,0,0,0,0,2008,SC60,RL,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Normal,188000
115.0,16905,2,4,4,3,6,6,1959,1959,0.0,3,4,3,180729.57230534533,3,3,4,967,1,0,383,1350,4,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,1959.0,1,308,3,3,1,0,104,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,No,No,Jul,WD,Normal,170000
86.0,11500,2,3,4,3,4,7,1936,1987,0.0,4,3,4,307758.7740970913,3,0,3,223,1,0,794,1017,4,1020,1037,0,2057,0,0,1,1,3,1,4,6,8,1,4,1936.0,1,180,2,3,2,0,0,0,0,322,0,0,0,2006,SC50,RL,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Normal,250000
0.0,13006,2,3,4,3,4,5,1997,1997,285.0,3,3,4,228871.19065094407,3,0,1,0,1,0,964,964,4,993,1243,0,2236,0,0,2,1,4,1,4,8,8,1,3,1997.0,2,642,3,3,2,0,0,0,0,0,0,0,0,2006,SC60,RL,None,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Fin,No,No,Nov,WD,Normal,222000
50.0,8000,2,4,4,3,5,6,1948,2002,0.0,3,4,3,108198.91296087627,3,0,5,680,1,0,292,972,5,972,0,0,972,1,0,1,0,2,1,3,5,8,1,4,1948.0,1,240,3,3,2,0,0,0,0,0,0,0,0,2009,SC20,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,No,No,May,WD,Normal,132000
80.0,10000,2,4,4,3,6,6,1973,2000,0.0,3,3,4,171198.31450285699,3,0,4,1084,1,0,92,1176,4,1178,0,0,1178,0,1,1,1,3,1,4,5,8,1,2,1973.0,2,439,3,3,2,224,0,0,0,0,0,0,0,2008,SC20,RL,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,MnPrv,No,Nov,WD,Normal,157000
80.0,10400,2,4,4,3,4,5,1998,1998,0.0,3,3,4,186078.34821312246,3,2,1,0,1,0,866,866,5,866,913,0,1779,0,0,2,1,3,1,4,6,8,0,0,1998.0,2,546,3,3,2,198,36,0,0,0,0,0,0,2009,SC60,RL,None,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Mar,WD,Normal,197900
0.0,29959,2,2,4,3,4,6,1994,1994,0.0,4,3,4,262215.01257308805,3,0,6,595,1,0,378,973,5,979,871,0,1850,0,0,2,1,3,1,4,7,8,1,4,1994.0,2,467,3,3,2,168,98,0,0,0,0,0,0,2009,SC60,RL,None,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,BuiltIn,Fin,No,No,Jan,WD,Normal,248000
80.0,9828,2,3,4,3,3,5,1995,1995,0.0,4,3,4,279817.6657991405,3,0,6,584,1,0,544,1128,5,1142,878,0,2020,0,0,2,1,3,1,4,8,8,1,3,1995.0,2,466,3,3,2,0,155,0,0,0,0,0,0,2009,SC60,RL,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Jun,WD,Normal,239500
109.0,14154,2,4,4,3,4,5,2006,2006,350.0,4,3,5,322870.90009696106,4,0,1,0,1,0,1063,1063,5,1071,1101,0,2172,0,0,2,1,3,1,4,9,8,1,4,2006.0,3,947,3,3,2,192,62,0,0,0,0,0,0,2007,SC60,RL,None,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Aug,New,Partial,280000
79.0,9236,2,3,4,3,5,5,1997,1997,0.0,3,4,4,182135.37873475725,3,3,6,1200,1,0,279,1479,5,1494,0,0,1494,1,0,2,0,3,1,4,6,8,0,0,1997.0,2,576,3,3,2,168,27,0,0,0,0,0,0,2006,SC20,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Jul,WD,Normal,217000
0.0,9900,2,4,4,3,4,5,1968,1968,342.0,3,3,3,151987.53362985607,3,0,4,552,1,0,280,832,4,1098,880,0,1978,0,0,2,1,4,1,3,9,8,1,4,1968.0,2,486,3,3,2,0,43,0,0,0,0,0,0,2008,SC60,RL,None,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,GdPrv,No,Apr,WD,Normal,176000
60.0,7024,2,4,4,3,6,5,2005,2006,0.0,3,3,5,139480.3817481544,4,0,5,980,1,0,110,1090,4,1090,0,0,1090,1,0,1,1,2,1,3,5,8,0,0,2005.0,2,450,3,3,2,0,49,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Normal,157000
75.0,9750,2,4,4,3,6,5,1967,1967,0.0,3,3,3,126410.05627240987,3,2,5,400,3,480,100,980,4,980,0,0,980,0,0,2,0,3,1,3,6,8,0,0,1967.0,1,384,3,3,2,68,0,0,0,0,0,0,0,2006,SC80,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Oct,WD,Normal,135500
65.0,25095,2,3,4,1,6,8,1968,2003,0.0,3,3,3,135874.11921741595,3,3,6,1324,1,0,113,1437,5,1473,0,0,1473,2,0,1,0,1,1,5,5,8,2,4,1968.0,1,452,3,3,2,0,48,0,0,60,0,0,0,2009,SC20,RL,None,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,No,No,Jun,WD,Partial,143000
105.0,11249,2,2,4,3,5,5,1995,1995,0.0,4,4,4,168020.7131039051,4,0,5,334,4,544,322,1200,5,1200,0,0,1200,1,0,2,0,3,1,4,6,8,0,0,1995.0,2,521,3,3,2,0,26,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Aug,WD,Normal,177500
60.0,7200,2,4,4,3,6,7,1940,1992,294.0,3,4,3,131167.58517863136,3,0,4,510,1,0,278,788,3,804,0,0,804,1,0,1,0,2,1,4,4,8,2,4,1940.0,1,240,3,3,2,0,0,154,0,0,0,0,0,2010,SC30,RM,None,Lvl,Corner,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,Stone,CBlock,GasA,Y,SBrkr,Attchd,Unf,MnPrv,No,Feb,WD,Abnorml,119000
0.0,9303,2,3,4,3,5,5,1996,1997,42.0,4,3,5,185452.37181468337,3,0,5,742,1,0,130,872,5,888,868,0,1756,1,0,2,1,3,1,3,7,8,0,0,1996.0,2,422,3,3,2,144,122,0,0,0,0,0,0,2007,SC60,RL,None,Lvl,Corner,Timber,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jul,WD,Normal,204000
0.0,53107,2,2,4,2,5,5,1992,1992,0.0,4,3,4,262282.98889709497,3,2,6,985,1,0,595,1580,5,1079,874,0,1953,1,0,2,1,3,1,4,9,8,2,2,1992.0,2,501,3,3,2,216,231,0,0,0,0,0,0,2007,SC60,RL,None,Low,Corner,ClearCr,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Normal,240000
75.0,13125,2,4,4,3,4,6,1940,1984,0.0,3,3,3,278020.2526980029,3,0,4,410,1,0,390,800,3,960,780,0,1740,0,0,1,1,3,1,3,6,8,2,4,1940.0,1,240,3,3,2,0,0,0,0,0,0,0,0,2007,SC70,RL,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,No,No,Jul,CWD,Normal,219500
70.0,8402,2,4,4,3,6,5,2007,2007,0.0,3,3,4,210126.70857058238,3,0,5,206,1,0,914,1120,5,1120,0,0,1120,0,0,1,0,3,1,3,6,8,0,0,1980.0,0,0,0,0,2,0,30,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,No,No,No,No,Dec,New,Partial,147000
80.0,11316,2,4,4,3,4,5,2002,2003,44.0,4,3,4,137879.52633031135,3,0,6,624,1,0,193,817,5,824,1070,0,1894,1,0,2,1,4,1,4,8,8,1,4,2002.0,2,510,3,3,2,0,40,0,0,0,0,0,0,2010,SC60,RL,None,Lvl,Corner,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Fin,No,No,Feb,WD,Normal,214900
60.0,9600,2,4,4,3,4,9,1928,2005,0.0,3,5,3,143735.45162210002,3,0,3,141,1,0,548,689,5,689,689,0,1378,0,0,2,0,3,1,4,7,8,1,4,1928.0,2,360,3,3,0,0,0,116,0,0,0,0,0,2008,SC70,RM,None,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gambrel,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Detchd,Unf,No,No,Oct,WD,Normal,161000
57.0,6420,2,3,4,3,6,7,1952,1952,0.0,3,3,5,119257.74682824944,4,1,2,210,5,551,219,980,2,1148,0,0,1148,0,1,1,0,2,1,3,6,8,0,0,1952.0,1,308,3,3,2,0,0,0,0,0,0,0,0,2006,SC20,RL,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,FuseA,Detchd,Unf,No,No,Sep,WD,Normal,123500
174.0,25419,2,4,4,3,3,4,1918,1990,0.0,4,4,3,225114.978940966,3,0,6,1036,2,184,140,1360,4,1360,1360,392,3112,1,1,2,0,4,1,4,8,8,1,5,1918.0,2,795,3,3,2,0,16,552,0,0,512,4,0,2006,SC75,RL,None,Lvl,Corner,NAmes,Artery,Norm,1Fam,2Story,Gable,CompShg,Stucco,Stucco,None,PConc,GasA,Y,SBrkr,Detchd,Unf,GdPrv,No,Mar,WD,Abnorml,235000
90.0,10768,2,3,4,3,6,8,1976,2004,0.0,4,4,4,173078.81282885763,3,3,5,1157,1,0,280,1437,3,1437,0,0,1437,1,0,2,0,3,1,4,6,8,1,2,1976.0,2,528,3,3,2,0,21,0,0,180,0,0,0,2007,SC20,RL,None,Lvl,Corner,Veenker,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,No,No,Jul,WD,Normal,218000
80.0,9600,2,4,4,3,5,8,1976,1976,0.0,3,3,4,155773.7282830511,3,3,5,978,1,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,1976.0,2,460,3,3,2,298,0,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,No,No,May,WD,Normal,181500
65.0,10237,2,4,4,3,5,5,2005,2007,0.0,4,3,4,196507.23884200735,3,0,1,0,1,0,783,783,5,783,701,0,1484,0,0,2,1,3,1,4,8,8,1,4,2005.0,2,393,3,3,2,0,72,0,0,0,0,0,0,2007,SC60,RL,None,Lvl,Inside,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Jul,New,Partial,178900
0.0,8125,2,4,4,3,4,5,2002,2002,295.0,4,3,4,288443.8211760253,3,0,6,986,1,0,668,1654,5,1654,0,0,1654,1,0,2,0,3,1,4,6,8,0,0,2002.0,3,900,3,3,2,0,136,0,0,0,0,0,0,2006,SC20,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Unf,No,No,Feb,WD,Normal,230000
87.0,11146,2,3,4,3,3,5,2006,2006,250.0,4,3,5,252260.92893401152,3,2,1,0,1,0,1709,1709,5,1717,0,0,1717,0,0,2,0,3,1,4,7,8,1,4,2006.0,3,908,3,3,2,169,39,0,0,0,0,0,0,2009,SC20,RL,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Jul,WD,Normal,255500
88.0,7990,2,3,4,3,6,6,1975,1975,0.0,3,3,4,123404.72539366796,3,0,1,0,1,0,924,924,3,924,0,0,924,0,0,1,0,3,1,3,5,8,0,0,1981.0,1,280,3,3,2,0,0,0,0,0,0,0,0,2008,SC20,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,MnPrv,No,Apr,WD,Normal,110000
60.0,10434,2,4,4,3,7,5,1955,1955,0.0,3,3,3,113777.85112836548,3,0,1,0,1,0,1005,1005,3,1005,0,0,1005,0,0,1,0,2,1,2,5,8,1,3,1977.0,2,672,2,2,2,0,0,0,0,0,0,0,0,2009,SC20,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,No,No,Nov,WD,Normal,115000
81.0,15593,2,4,4,3,4,4,1953,1953,0.0,4,3,3,250919.02529639003,3,0,4,603,1,0,701,1304,3,1304,983,0,2287,0,0,2,0,3,1,3,7,8,1,3,1953.0,2,667,3,3,2,0,21,114,0,0,0,0,0,2006,SC50,RL,None,Lvl,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,AsbShng,None,CBlock,GasW,Y,SBrkr,Attchd,Fin,No,No,Jul,WD,Normal,225000
90.0,9900,2,4,4,3,5,4,1880,1950,0.0,3,3,3,84943.65453817858,3,1,1,0,1,0,1008,1008,3,1178,1032,0,2210,0,0,2,0,5,1,2,8,8,0,0,1930.0,1,205,2,3,0,0,48,0,0,0,0,0,0,2007,SC70,RM,None,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasW,Y,SBrkr,Detchd,Unf,No,No,May,WD,Normal,117500
65.0,9313,2,3,4,3,4,5,2004,2004,0.0,4,3,4,187129.67968832538,3,0,1,0,1,0,864,864,5,864,864,0,1728,0,0,2,1,3,1,4,7,8,0,0,2004.0,2,572,3,3,2,187,56,0,0,0,0,0,0,2009,SC60,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Apr,WD,Normal,190000
0.0,15870,2,3,4,3,6,5,1969,1969,0.0,3,3,3,163728.65527442782,3,1,4,75,3,791,230,1096,5,1096,0,0,1096,1,0,1,0,3,1,3,6,8,0,0,1969.0,1,299,3,3,2,240,32,0,0,0,0,0,0,2006,SC20,RL,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Fin,No,No,Mar,WD,Abnorml,138800
70.0,7420,2,4,4,3,6,5,1962,1962,0.0,3,3,3,184897.87460465185,3,0,3,417,1,0,640,1057,3,1057,0,0,1057,0,0,1,0,3,1,3,6,8,0,0,1977.0,2,576,3,3,2,0,0,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Fin,No,No,Apr,WD,Normal,132000
75.0,9803,2,4,4,3,4,5,2005,2005,0.0,4,3,4,173213.12404548976,3,0,6,400,1,0,466,866,4,866,902,0,1768,0,0,2,1,3,1,4,7,8,0,0,2005.0,2,603,3,3,2,0,108,0,0,0,0,0,0,2008,SC60,FV,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Feb,WD,Normal,226700
0.0,12160,2,3,4,3,6,5,1959,1959,180.0,3,3,3,93100.16874483626,3,0,3,1000,1,0,188,1188,2,1188,0,0,1188,1,0,1,0,3,1,3,6,8,0,0,1959.0,2,531,3,3,2,0,0,0,0,0,0,0,0,2010,SC20,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,MnPrv,No,May,COD,Abnorml,142000
70.0,8393,2,4,4,3,6,5,1959,2005,122.0,3,3,3,150943.70007416527,3,0,2,528,1,0,1098,1626,5,1712,0,0,1712,0,0,2,0,4,2,3,8,8,0,0,2005.0,2,588,3,3,2,272,54,0,0,0,0,0,0,2006,SC90,RL,None,Lvl,Corner,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Fin,No,No,Jun,WD,Family,145000
